benchmark,method,wall_time,w_median,w_lo,w_hi
gandk,async_propulate_abc,0.0571751594543457,0.8239365258253302,0.8239365258253302,0.8239365258253302
gandk,async_propulate_abc,7.650004758110529,1.1601744537039218,1.145187951248466,1.3437909096257667
gandk,async_propulate_abc,15.242834356766712,1.1601744537039218,1.145187951248466,1.3437909096257667
gandk,async_propulate_abc,22.835663955422895,1.1601744537039218,1.145187951248466,1.3437909096257667
gandk,async_propulate_abc,30.42849355407908,1.1601744537039218,1.145187951248466,1.3437909096257667
gandk,async_propulate_abc,38.02132315273526,1.1601744537039218,1.145187951248466,1.3437909096257667
gandk,async_propulate_abc,45.614152751391444,1.1601744537039218,1.145187951248466,1.3437909096257667
gandk,async_propulate_abc,53.20698235004763,1.1601744537039218,1.145187951248466,1.3437909096257667
gandk,async_propulate_abc,60.79981194870381,1.1601744537039218,1.145187951248466,1.3437909096257667
gandk,async_propulate_abc,68.39264154736,1.1601744537039218,1.145187951248466,1.3437909096257667
gandk,async_propulate_abc,75.98547114601618,1.1601744537039218,1.145187951248466,1.3437909096257667
gandk,async_propulate_abc,83.57830074467236,1.1601744537039218,1.145187951248466,1.3437909096257667
gandk,async_propulate_abc,91.17113034332854,1.1601744537039218,1.145187951248466,1.3437909096257667
gandk,async_propulate_abc,98.76395994198472,1.1601744537039218,1.145187951248466,1.3437909096257667
gandk,async_propulate_abc,106.35678954064092,1.1601744537039218,1.145187951248466,1.3437909096257667
gandk,async_propulate_abc,113.9496191392971,1.1601744537039218,1.145187951248466,1.3437909096257667
gandk,async_propulate_abc,121.54244873795328,1.1601744537039218,1.145187951248466,1.3437909096257667
gandk,async_propulate_abc,129.13527833660947,1.1601744537039218,1.145187951248466,1.3437909096257667
gandk,async_propulate_abc,136.72810793526565,1.1601744537039218,1.145187951248466,1.3437909096257667
gandk,async_propulate_abc,144.32093753392184,0.1231578604294351,0.1130292824642962,1.1601744537039218
gandk,async_propulate_abc,151.91376713257802,0.1231578604294351,0.1130292824642962,1.1601744537039218
gandk,async_propulate_abc,159.5065967312342,0.1130292824642962,0.080140172199162,0.1231578604294351
gandk,async_propulate_abc,167.09942632989038,0.1130292824642962,0.080140172199162,0.1231578604294351
gandk,async_propulate_abc,174.69225592854656,0.1130292824642962,0.080140172199162,0.1231578604294351
gandk,async_propulate_abc,182.28508552720274,0.1130292824642962,0.080140172199162,0.1231578604294351
gandk,async_propulate_abc,189.87791512585892,0.080140172199162,0.0676450940726674,0.1130292824642962
gandk,async_propulate_abc,197.4707447245151,0.080140172199162,0.0676450940726674,0.1130292824642962
gandk,async_propulate_abc,205.0635743231713,0.080140172199162,0.0676450940726674,0.1130292824642962
gandk,async_propulate_abc,212.6564039218275,0.080140172199162,0.0676450940726674,0.1130292824642962
gandk,async_propulate_abc,220.24923352048367,0.080140172199162,0.0676450940726674,0.1130292824642962
gandk,async_propulate_abc,227.84206311913985,0.0724437951991039,0.0676450940726674,0.080140172199162
gandk,async_propulate_abc,235.43489271779603,0.0724437951991039,0.0676450940726674,0.0840491317281476
gandk,async_propulate_abc,243.0277223164522,0.0809812632029267,0.0724437951991039,0.0840491317281476
gandk,async_propulate_abc,250.6205519151084,0.0809812632029267,0.0724437951991039,0.0840491317281476
gandk,async_propulate_abc,258.2133815137646,0.0809812632029267,0.0724437951991039,0.0840491317281476
gandk,async_propulate_abc,265.8062111124208,0.0809812632029267,0.0724437951991039,0.0840491317281476
gandk,async_propulate_abc,273.39904071107696,0.0809812632029267,0.0724437951991039,0.0840491317281476
gandk,async_propulate_abc,280.99187030973314,0.0809812632029267,0.0724437951991039,0.0840491317281476
gandk,async_propulate_abc,288.5846999083893,0.0809812632029267,0.0724437951991039,0.0840491317281476
gandk,async_propulate_abc,296.1775295070455,0.0809812632029267,0.0724437951991039,0.0840491317281476
gandk,async_propulate_abc,303.7703591057017,0.0809812632029267,0.0724437951991039,0.0840491317281476
gandk,async_propulate_abc,311.36318870435787,0.0719153207525635,0.0684081847738352,0.0809812632029267
gandk,async_propulate_abc,318.95601830301405,0.0719153207525635,0.0684081847738352,0.0770574038548922
gandk,async_propulate_abc,326.54884790167023,0.0719153207525635,0.0684081847738352,0.0770574038548922
gandk,async_propulate_abc,334.1416775003264,0.0719153207525635,0.0693845701586269,0.0770574038548922
gandk,async_propulate_abc,341.7345070989826,0.0719153207525635,0.0693845701586269,0.0770574038548922
gandk,async_propulate_abc,349.32733669763877,0.0719153207525635,0.0693845701586269,0.0770574038548922
gandk,async_propulate_abc,356.92016629629495,0.0719153207525635,0.0693845701586269,0.0770574038548922
gandk,async_propulate_abc,364.51299589495113,0.0719153207525635,0.0693845701586269,0.0770574038548922
gandk,async_propulate_abc,372.1058254936073,0.0719153207525635,0.0693845701586269,0.0770574038548922
gandk,async_propulate_abc,379.6986550922635,0.0719153207525635,0.0693845701586269,0.0770574038548922
gandk,async_propulate_abc,387.2914846909197,0.0718219785590028,0.0693845701586269,0.0765318942538455
gandk,async_propulate_abc,394.88431428957585,0.0718219785590028,0.0693845701586269,0.0765318942538455
gandk,async_propulate_abc,402.47714388823204,0.0752000732081571,0.0718219785590028,0.0765318942538455
gandk,async_propulate_abc,410.0699734868883,0.0752000732081571,0.0718219785590028,0.0765318942538455
gandk,async_propulate_abc,417.66280308554445,0.0752000732081571,0.0718219785590028,0.0765318942538455
gandk,async_propulate_abc,425.25563268420063,0.0752000732081571,0.0718219785590028,0.0765318942538455
gandk,async_propulate_abc,432.8484622828568,0.0752000732081571,0.0718219785590028,0.0765318942538455
gandk,async_propulate_abc,440.441291881513,0.0752000732081571,0.0718219785590028,0.0765318942538455
gandk,async_propulate_abc,448.0341214801692,0.0752000732081571,0.0718219785590028,0.0765318942538455
gandk,async_propulate_abc,455.62695107882536,0.0752000732081571,0.0718219785590028,0.0765318942538455
gandk,async_propulate_abc,463.21978067748154,0.0759808144241534,0.0752000732081571,0.0793421957221036
gandk,async_propulate_abc,470.8126102761377,0.0759808144241534,0.0710074109400757,0.0793421957221036
gandk,async_propulate_abc,478.4054398747939,0.0759808144241534,0.0710074109400757,0.0793421957221036
gandk,async_propulate_abc,485.9982694734501,0.0759808144241534,0.0710074109400757,0.0793421957221036
gandk,async_propulate_abc,493.59109907210626,0.0759808144241534,0.0710074109400757,0.0793421957221036
gandk,async_propulate_abc,501.18392867076244,0.0759808144241534,0.0710074109400757,0.0793421957221036
gandk,async_propulate_abc,508.7767582694186,0.0759808144241534,0.0710074109400757,0.0793421957221036
gandk,async_propulate_abc,516.3695878680749,0.0759808144241534,0.0710074109400757,0.0793421957221036
gandk,async_propulate_abc,523.962417466731,0.0759808144241534,0.0710074109400757,0.0793421957221036
gandk,async_propulate_abc,531.5552470653872,0.0772994187120703,0.0732642352985817,0.0798458642796147
gandk,async_propulate_abc,539.1480766640434,0.0772994187120703,0.0732642352985817,0.0798458642796147
gandk,async_propulate_abc,546.7409062626996,0.0772994187120703,0.0732642352985817,0.0798458642796147
gandk,async_propulate_abc,554.3337358613558,0.0772994187120703,0.0732642352985817,0.0798458642796147
gandk,async_propulate_abc,561.926565460012,0.0772994187120703,0.0732642352985817,0.0798458642796147
gandk,async_propulate_abc,569.5193950586681,0.0772994187120703,0.0732642352985817,0.0798458642796147
gandk,async_propulate_abc,577.1122246573243,0.0772994187120703,0.0732642352985817,0.0798458642796147
gandk,async_propulate_abc,584.7050542559805,0.0772994187120703,0.0732642352985817,0.0798458642796147
gandk,async_propulate_abc,592.2978838546367,0.0772994187120703,0.0732642352985817,0.0798458642796147
gandk,async_propulate_abc,599.8907134532928,0.0857060607140527,0.0731966678420989,0.0907515981192289
gandk,abc_smc_baseline,0.0571751594543457,,,
gandk,abc_smc_baseline,7.650004758110529,0.42725751272341594,0.3749948536344675,0.47952017181236434
gandk,abc_smc_baseline,15.242834356766712,0.2368072121410051,0.1778430600781627,0.3842950215211589
gandk,abc_smc_baseline,22.835663955422895,0.2053190869033149,0.1329259488470997,0.3685509589023138
gandk,abc_smc_baseline,30.42849355407908,0.0832690843998282,0.0741876980712484,0.1068812410484882
gandk,abc_smc_baseline,38.02132315273526,0.0832690843998282,0.0741876980712484,0.1094088461075866
gandk,abc_smc_baseline,45.614152751391444,0.0762118089033707,0.0741876980712484,0.0832690843998282
gandk,abc_smc_baseline,53.20698235004763,0.0762118089033707,0.0741876980712484,0.0832690843998282
gandk,abc_smc_baseline,60.79981194870381,0.0832690843998282,0.0762118089033707,0.1094088461075866
gandk,abc_smc_baseline,68.39264154736,0.0832690843998282,0.0762118089033707,0.1094088461075866
gandk,abc_smc_baseline,75.98547114601618,0.0832690843998282,0.0762118089033707,0.1094088461075866
gandk,abc_smc_baseline,83.57830074467236,0.0832690843998282,0.0694459316556135,0.1094088461075866
gandk,abc_smc_baseline,91.17113034332854,0.0832690843998282,0.0694459316556135,0.1094088461075866
gandk,abc_smc_baseline,98.76395994198472,0.0832690843998282,0.0694459316556135,0.1094088461075866
gandk,abc_smc_baseline,106.35678954064092,0.0832690843998282,0.0694459316556135,0.1094088461075866
gandk,abc_smc_baseline,113.9496191392971,0.1094088461075866,0.0832690843998282,0.2032383008894244
gandk,abc_smc_baseline,121.54244873795328,0.099549411901828,0.0832690843998282,0.1094088461075866
gandk,abc_smc_baseline,129.13527833660947,0.0832690843998282,0.0638869190502843,0.099549411901828
gandk,abc_smc_baseline,136.72810793526565,0.0832690843998282,0.0638869190502843,0.099549411901828
gandk,abc_smc_baseline,144.32093753392184,0.0832690843998282,0.0638869190502843,0.099549411901828
gandk,abc_smc_baseline,151.91376713257802,0.0832690843998282,0.0638869190502843,0.099549411901828
gandk,abc_smc_baseline,159.5065967312342,0.0832690843998282,0.0638869190502843,0.099549411901828
gandk,abc_smc_baseline,167.09942632989038,0.0940862006393639,0.0832690843998282,0.099549411901828
gandk,abc_smc_baseline,174.69225592854656,0.0940862006393639,0.0832690843998282,0.099549411901828
gandk,abc_smc_baseline,182.28508552720274,0.09057997803163,0.0832690843998282,0.0940862006393639
gandk,abc_smc_baseline,189.87791512585892,0.0832690843998282,0.0638869190502843,0.09057997803163
gandk,abc_smc_baseline,197.4707447245151,0.0832690843998282,0.0638869190502843,0.09057997803163
gandk,abc_smc_baseline,205.0635743231713,0.0832690843998282,0.0638869190502843,0.09057997803163
gandk,abc_smc_baseline,212.6564039218275,0.0832690843998282,0.0638869190502843,0.09057997803163
gandk,abc_smc_baseline,220.24923352048367,0.0832690843998282,0.0674807711333253,0.09057997803163
gandk,abc_smc_baseline,227.84206311913985,0.0832690843998282,0.0674807711333253,0.09057997803163
gandk,abc_smc_baseline,235.43489271779603,0.0832690843998282,0.0674807711333253,0.09057997803163
gandk,abc_smc_baseline,243.0277223164522,0.0852133029988611,0.0674807711333253,0.09057997803163
gandk,abc_smc_baseline,250.6205519151084,0.0852133029988611,0.0674807711333253,0.09057997803163
gandk,abc_smc_baseline,258.2133815137646,0.0852133029988611,0.0674807711333253,0.09057997803163
gandk,abc_smc_baseline,265.8062111124208,0.0852133029988611,0.0685841624172647,0.09057997803163
gandk,abc_smc_baseline,273.39904071107696,0.0852133029988611,0.0685841624172647,0.09057997803163
gandk,abc_smc_baseline,280.99187030973314,0.0852133029988611,0.0685841624172647,0.09057997803163
gandk,abc_smc_baseline,288.5846999083893,0.0852133029988611,0.0685841624172647,0.09057997803163
gandk,abc_smc_baseline,296.1775295070455,0.0852133029988611,0.0685841624172647,0.09057997803163
gandk,abc_smc_baseline,303.7703591057017,0.0848007075767155,0.0685841624172647,0.0852133029988611
gandk,abc_smc_baseline,311.36318870435787,0.0848007075767155,0.0685841624172647,0.0852133029988611
gandk,abc_smc_baseline,318.95601830301405,0.0848007075767155,0.0685841624172647,0.0852133029988611
gandk,abc_smc_baseline,326.54884790167023,0.0848007075767155,0.0685841624172647,0.0852133029988611
gandk,abc_smc_baseline,334.1416775003264,0.0848007075767155,0.0685841624172647,0.0852133029988611
gandk,abc_smc_baseline,341.7345070989826,0.0848007075767155,0.0685841624172647,0.0852133029988611
gandk,abc_smc_baseline,349.32733669763877,0.0685841624172647,0.0638869190502843,0.0940862006393639
gandk,abc_smc_baseline,356.92016629629495,0.0685841624172647,0.0638869190502843,0.0940862006393639
gandk,abc_smc_baseline,364.51299589495113,0.0685841624172647,0.0638869190502843,0.0940862006393639
gandk,abc_smc_baseline,372.1058254936073,0.0685841624172647,0.0638869190502843,0.0940862006393639
gandk,abc_smc_baseline,379.6986550922635,0.0685841624172647,0.0638869190502843,0.0940862006393639
gandk,abc_smc_baseline,387.2914846909197,0.0685841624172647,0.0638869190502843,0.0940862006393639
